prl,ti,channel
PL,T4,0
RP,T3,0
PR,T9,0
LP,T8,0
RL,T7,0
PR,T9,0
LP,T8,0
RL,T7,0
RL,T7,0
LR,T5,0
RL,T7,0
PR,T9,0
RPRP,T6,0
PR,T9,0
PR,T9,0
RPRP,T6,0
PR,T9,0
PR,T9,0
LR,T5,0
LP,T8,0
PR,T9,0
RP,T3,0
PL,T4,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LP,T8,0
PR,T9,0
RP,T3,0
PL,T4,0
RP,T3,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
RP,T3,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
RL,T7,0
LP,T8,0
PR,T9,0
RL,T7,0
LP,T8,0
RLRL,T2,0
RLRL,T2,0
RL,T7,0
RL,T7,0
RLRL,T2,0
RPRL,T10,0
PR,T9,0
RL,T7,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RPRL,T10,0
RL,T7,0
LR,T5,0
RL,T7,0
RL,T7,0
RPRL,T10,0
LR,T5,0
PL,T4,0
RP,T3,0
PR,T9,0
LP,T8,0
RL,T7,0
PR,T9,0
LP,T8,0
RPRL,T10,0
PLRL,T11,0
LP,T8,0
PR,T9,0
RL,T7,0
LP,T8,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
LP,T8,0
RL,T7,0
PR,T9,0
LP,T8,0
RLRL,T2,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
RP,T3,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
PR,T9,0
RL,T7,0
PL,T4,0
RP,T3,0
PR,T9,0
LP,T8,0
RL,T7,0
PR,T9,0
LP,T8,0
RL,T7,0
RL,T7,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
LR,T5,0
RL,T7,0
PR,T9,0
LP,T8,0
RL,T7,0
RL,T7,0
RPRL,T10,0
PLRL,T11,0
LP,T8,0
RL,T7,0
PR,T9,0
LP,T8,0
RL,T7,0
PR,T9,0
LP,T8,0
LR,T5,0
PL,T4,0
LP,T8,0
PR,T9,0
RP,T3,0
PR,T9,0
RLRL,T2,0
RLRL,T2,0
RP,T3,0
PR,T9,0
LP,T8,0
PL,T4,0
LP,T8,0
PR,T9,0
RLRL,T2,0
RP,T3,0
PR,T9,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
PR,T9,0
LR,T5,0
RLRL,T2,0
RL,T7,0
RL,T7,0
RLRL,T2,0
RPRL,T10,0
LR,T5,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
LR,T5,0
RL,T7,0
LR,T5,0
RL,T7,0
RPRL,T10,0
PLRL,T11,0
LP,T8,0
LR,T5,0
RLRL,T2,0
RLRL,T2,0
RLRL,T2,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
RLRL,T2,0
RP,T3,0
PL,T4,0
LR,T5,0
RL,T7,0
LP,T8,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
LR,T5,0
RL,T7,0
RLRL,T2,0
PL,T4,0
RP,T3,0
LR,T5,0
RL,T7,0
PR,T9,0
LP,T8,0
RLRL,T2,0
RLRL,T2,0
LR,T5,0
RP,T3,0
PL,T4,0
LR,T5,0
RL,T7,0
LP,T8,0
PR,T9,0
LR,T5,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
PL,T4,0
RP,T3,0
PR,T9,0
LP,T8,0
RL,T7,0
PR,T9,0
LP,T8,0
RL,T7,0
LR,T5,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
LR,T5,0
PL,T4,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
PL,T4,0
RP,T3,0
LR,T5,0
PL,T4,1
RP,T3,1
PR,T9,1
LP,T8,1
RL,T7,1
PR,T9,1
LP,T8,1
RL,T7,1
RL,T7,1
