prl,ti,channel
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
PL,T4,0
RP,T3,0
RP,T3,0
PR,T9,0
RLRL,T2,0
RPRL,T10,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
LRLP,T1,0
RLRL,T2,0
LR,T5,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
RPRL,T10,0
RP,T3,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
LR,T5,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
PL,T4,0
RP,T3,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
LP,T8,0
PR,T9,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
PR,T9,0
LRLP,T1,0
PR,T9,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
LP,T8,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
PL,T4,0
RP,T3,0
RP,T3,0
PR,T9,0
RLRL,T2,0
RPRL,T10,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
LR,T5,0
RL,T7,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
LP,T8,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
LR,T5,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PL,T4,0
LR,T5,0
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RPRL,T10,1
RPRL,T10,1
PL,T4,1
RP,T3,1
LR,T5,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
PLRL,T11,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
LP,T8,1
PL,T4,1
RPRL,T10,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
PR,T9,1
LRLP,T1,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
LR,T5,1
RPRL,T10,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
RP,T3,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
RL,T7,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
LRLP,T1,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
PR,T9,1
LRLP,T1,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
RP,T3,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RPRL,T10,1
PL,T4,1
RP,T3,1
RP,T3,1
PR,T9,1
RLRL,T2,1
RPRL,T10,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
PR,T9,1
LRLP,T1,1
RLRL,T2,1
LR,T5,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RPRL,T10,1
RPRL,T10,1
RLRL,T2,1
RPRL,T10,1
RPRL,T10,1
RP,T3,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
LR,T5,1
PLRL,T11,1
RPRL,T10,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RLRL,T2,1
LR,T5,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
LRLP,T1,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RPRL,T10,1
PL,T4,1
RP,T3,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
LP,T8,1
PR,T9,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
PR,T9,1
LRLP,T1,1
PR,T9,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
LRLP,T1,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
LP,T8,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RPRL,T10,1
PL,T4,1
RP,T3,1
RP,T3,1
PR,T9,1
RLRL,T2,1
RPRL,T10,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
RP,T3,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
LR,T5,1
RL,T7,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
RLRL,T2,1
RLRL,T2,1
LP,T8,1
PLRL,T11,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
RLRL,T2,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LP,T8,1
LR,T5,1
PLRL,T11,1
RPRL,T10,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RLRL,T2,1
LP,T8,1
RPRL,T10,1
RPRL,T10,1
RLRL,T2,1
PR,T9,1
LR,T5,1
RPRL,T10,1
RLRL,T2,1
LR,T5,1
RPRL,T10,1
PLRL,T11,1
RPRL,T10,1
RLRL,T2,1
LRLP,T1,1
PR,T9,1
RLRL,T2,1
LRLP,T1,1
PL,T4,1
LR,T5,1
