note,time,channel
62,0.1666665,0
64,0.1666665,0
65,0.1666665,0
67,0.1666665,0
69,0.1666665,0
70,0.1666665,0
61,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.1666665,0
64,0.1666665,0
65,0.333333,0
69,0.333333,0
74,0.333333,0
67,0.333333,0
73,0.333333,0
76,0.333333,0
74,0.1666665,0
76,0.1666665,0
77,0.1666665,0
79,0.1666665,0
81,0.1666665,0
82,0.1666665,0
73,0.1666665,0
82,0.1666665,0
81,0.1666665,0
79,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.1666665,0
74,0.1666665,0
76,0.1666665,0
77,0.1666665,0
79,0.1666665,0
81,0.1666665,0
70,0.1666665,0
81,0.1666665,0
79,0.1666665,0
77,0.1666665,0
76,0.1666665,0
74,0.1666665,0
76,0.1666665,0
72,0.1666665,0
74,0.1666665,0
76,0.1666665,0
77,0.1666665,0
79,0.1666665,0
69,0.1666665,0
79,0.1666665,0
77,0.1666665,0
76,0.1666665,0
74,0.1666665,0
72,0.1666665,0
74,0.1666665,0
76,0.1666665,0
77,0.1666665,0
74,0.1666665,0
76,0.1666665,0
77,0.1666665,0
67,0.333333,0
0,0.666666,0
72,0.1666665,0
74,0.1666665,0
76,0.1666665,0
72,0.1666665,0
74,0.1666665,0
76,0.1666665,0
65,0.333333,0
0,0.333333,0
70,0.666666,0
69,0.333333,0
67,0.333333,0
72,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.1666665,0
64,0.1666665,0
65,0.1666665,0
67,0.1666665,0
67,0.4999995,0
65,0.1666665,0
65,0.333333,0
72,0.333333,0
72,0.333333,0
72,3.1666635,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.1666665,0
64,0.1666665,0
72,0.1666665,0
62,0.1666665,0
64,0.1666665,0
66,0.1666665,0
67,0.1666665,0
69,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.1666665,0
64,0.1666665,0
62,0.1666665,0
70,0.1666665,0
60,0.1666665,0
62,0.1666665,0
64,0.1666665,0
65,0.1666665,0
67,0.1666665,0
69,0.1666665,0
71,0.1666665,0
72,0.1666665,0
74,0.1666665,0
76,0.1666665,0
77,0.1666665,0
68,0.1666665,0
77,0.1666665,0
76,0.1666665,0
74,0.1666665,0
72,0.1666665,0
71,0.1666665,0
72,0.1666665,0
71,0.1666665,0
74,0.1666665,0
72,0.1666665,0
71,0.1666665,0
69,0.1666665,0
68,0.1666665,0
69,0.1666665,0
68,0.1666665,0
66,0.1666665,0
64,0.1666665,0
62,0.1666665,0
60,0.1666665,0
62,0.1666665,0
64,0.1666665,0
66,0.1666665,0
68,0.1666665,0
69,0.1666665,0
62,0.1666665,0
72,0.1666665,0
71,0.1666665,0
69,0.1666665,0
68,0.1666665,0
66,0.1666665,0
64,0.1666665,0
66,0.1666665,0
68,0.1666665,0
69,0.1666665,0
71,0.1666665,0
72,0.1666665,0
66,0.1666665,0
76,0.1666665,0
74,0.1666665,0
72,0.1666665,0
71,0.1666665,0
69,0.1666665,0
68,0.1666665,0
69,0.1666665,0
71,0.1666665,0
72,0.1666665,0
74,0.1666665,0
76,0.1666665,0
69,0.1666665,0
77,0.1666665,0
76,0.1666665,0
74,0.1666665,0
72,0.1666665,0
71,0.1666665,0
81,0.1666665,0
80,0.1666665,0
78,0.1666665,0
76,0.1666665,0
81,0.4999995,0
74,0.1666665,0
71,0.4999995,0
69,0.1666665,0
69,0.4999995,0
69,0.1666665,0
70,0.1666665,0
72,0.1666665,0
62,0.333333,0
66,0.333333,0
69,0.333333,0
70,0.1666665,0
67,0.1666665,0
69,0.1666665,0
70,0.1666665,0
72,0.1666665,0
74,0.1666665,0
64,0.1666665,0
74,0.1666665,0
72,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
69,0.333333,0
77,0.1666665,0
76,0.1666665,0
77,0.333333,0
67,0.333333,0
76,0.333333,0
0,0.333333,0
74,0.1666665,0
76,0.1666665,0
77,0.1666665,0
79,0.1666665,0
81,0.1666665,0
82,0.1666665,0
73,0.1666665,0
82,0.1666665,0
81,0.1666665,0
79,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.333333,0
74,0.333333,0
67,0.4999995,0
74,0.1666665,0
73,0.1666665,0
76,0.1666665,0
69,0.1666665,0
73,0.1666665,0
74,0.1666665,0
71,0.1666665,0
73,0.4999995,0
74,0.1666665,0
74,0.1666665,0
72,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.1666665,0
70,0.1666665,0
61,0.1666665,0
62,0.1666665,0
64,0.1666665,0
65,0.1666665,0
67,0.1666665,0
69,0.1666665,0
74,0.1666665,0
65,0.333333,0
64,0.1666665,0
62,0.1666665,0
62,0.999999,0
0,1.999998,1
50,0.1666665,1
52,0.1666665,1
53,0.1666665,1
55,0.1666665,1
57,0.1666665,1
58,0.1666665,1
49,0.1666665,1
58,0.1666665,1
57,0.1666665,1
55,0.1666665,1
53,0.1666665,1
52,0.1666665,1
53,0.333333,1
57,0.333333,1
62,0.333333,1
52,0.333333,1
55,0.333333,1
61,0.333333,1
50,0.333333,1
62,0.333333,1
53,0.333333,1
55,0.333333,1
57,0.333333,1
58,0.333333,1
48,0.333333,1
60,0.333333,1
52,0.333333,1
53,0.333333,1
55,0.333333,1
57,0.333333,1
58,0.1666665,1
55,0.1666665,1
57,0.1666665,1
58,0.1666665,1
60,0.1666665,1
62,0.1666665,1
52,0.1666665,1
62,0.1666665,1
60,0.1666665,1
58,0.1666665,1
57,0.1666665,1
55,0.1666665,1
57,0.1666665,1
53,0.1666665,1
55,0.1666665,1
57,0.1666665,1
58,0.1666665,1
60,0.1666665,1
50,0.1666665,1
60,0.1666665,1
58,0.1666665,1
57,0.1666665,1
55,0.1666665,1
53,0.1666665,1
52,0.1666665,1
48,0.1666665,1
50,0.1666665,1
52,0.1666665,1
53,0.1666665,1
55,0.1666665,1
45,0.1666665,1
55,0.1666665,1
53,0.1666665,1
52,0.1666665,1
50,0.1666665,1
48,0.1666665,1
50,0.1666665,1
46,0.1666665,1
48,0.333333,1
36,0.333333,1
41,0.1666665,1
43,0.1666665,1
45,0.1666665,1
46,0.1666665,1
48,0.1666665,1
50,0.1666665,1
40,0.1666665,1
50,0.1666665,1
48,0.1666665,1
46,0.1666665,1
45,0.1666665,1
43,0.1666665,1
45,0.1666665,1
46,0.1666665,1
48,0.1666665,1
50,0.1666665,1
52,0.1666665,1
53,0.1666665,1
43,0.1666665,1
53,0.1666665,1
52,0.1666665,1
50,0.1666665,1
48,0.1666665,1
46,0.1666665,1
45,0.1666665,1
46,0.1666665,1
48,0.1666665,1
45,0.1666665,1
46,0.1666665,1
48,0.1666665,1
42,0.333333,1
0,0.666666,1
43,0.1666665,1
45,0.1666665,1
46,0.1666665,1
43,0.1666665,1
45,0.1666665,1
46,0.1666665,1
40,0.333333,1
0,0.666666,1
41,0.333333,1
53,0.333333,1
50,0.333333,1
47,0.333333,1
44,0.333333,1
40,0.333333,1
45,0.1666665,1
44,0.1666665,1
45,0.1666665,1
47,0.1666665,1
48,0.1666665,1
50,0.1666665,1
52,5.333328,1
64,0.333333,1
62,0.333333,1
60,0.333333,1
59,0.333333,1
57,0.333333,1
62,0.333333,1
64,0.333333,1
65,0.333333,1
62,0.333333,1
64,0.333333,1
52,0.333333,1
57,0.1666665,1
45,0.1666665,1
46,0.1666665,1
48,0.1666665,1
50,0.1666665,1
51,0.1666665,1
42,0.1666665,1
51,0.1666665,1
50,0.1666665,1
48,0.1666665,1
46,0.1666665,1
45,0.1666665,1
43,0.4999995,1
43,0.1666665,1
45,0.1666665,1
46,0.1666665,1
36,0.333333,1
43,0.333333,1
48,0.333333,1
53,0.1666665,1
55,0.1666665,1
57,0.1666665,1
59,0.1666665,1
61,0.1666665,1
62,0.1666665,1
52,0.1666665,1
62,0.1666665,1
61,0.1666665,1
