note,time,channel
62,0.1875,0
64,0.1875,0
66,0.1875,0
64,0.1875,0
67,0.1875,0
66,0.1875,0
64,0.1875,0
62,0.1875,0
69,0.1875,0
67,0.1875,0
66,0.1875,0
64,0.1875,0
66,0.1875,0
62,0.1875,0
69,0.375,0
71,0.375,0
73,0.1875,0
74,0.1875,0
71,0.27734375,0
0,0.09765625,0
0,0.27734375,0
71,0.09765625,0
73,0.1875,0
74,0.1875,0
76,0.1875,0
73,0.1875,0
78,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
76,0.1875,0
73,0.1875,0
74,0.1875,0
71,0.1875,0
69,0.1875,0
68,0.1875,0
76,0.1875,0
73,0.1875,0
78,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
76,0.1875,0
73,0.1875,0
74,0.1875,0
71,0.1875,0
69,0.1875,0
68,0.1875,0
73,0.1875,0
71,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
69,0.1875,0
78,0.375,0
68,0.375,0
69,0.5625,0
71,0.1875,0
71,0.5625,0
69,0.1875,0
69,0.75,0
0,0.75,0
76,0.375,0
81,0.5625,0
71,0.1875,0
73,0.1875,0
75,0.1875,0
76,0.1875,0
78,0.1875,0
79,0.1875,0
78,0.1875,0
81,0.1875,0
79,0.1875,0
78,0.1875,0
76,0.1875,0
83,0.375,0
71,0.375,0
0,0.75,0
66,0.375,0
71,0.5625,0
70,0.1875,0
71,0.1875,0
73,0.1875,0
74,0.1875,0
76,0.1875,0
78,0.1875,0
76,0.1875,0
79,0.1875,0
78,0.1875,0
76,0.1875,0
74,0.1875,0
76,0.1875,0
74,0.1875,0
78,0.1875,0
76,0.1875,0
74,0.1875,0
73,0.1875,0
74,0.1875,0
73,0.1875,0
76,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
73,0.375,0
70,0.375,0
71,0.5625,0
73,0.1875,0
73,0.5625,0
71,0.375,0
66,0.1875,0
68,0.1875,0
70,0.1875,0
71,0.1875,0
73,0.1875,0
74,0.1875,0
73,0.1875,0
76,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
79,2.4375,0
64,0.1875,0
66,0.1875,0
68,0.1875,0
69,0.1875,0
71,0.1875,0
73,0.1875,0
71,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
69,0.1875,0
78,2.4375,0
71,0.1875,0
76,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
73,0.1875,0
71,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
69,0.1875,0
68,0.375,0
64,0.375,0
69,0.1875,0
71,0.1875,0
73,0.1875,0
71,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
69,0.1875,0
78,0.5625,0
68,0.1875,0
69,0.1875,0
68,0.1875,0
69,0.1875,0
74,0.1875,0
71,0.5625,0
69,0.1875,0
69,0.5625,0
73,0.1875,0
74,0.1875,0
76,0.1875,0
66,0.375,0
67,0.375,0
69,0.375,0
71,0.375,0
73,0.375,0
74,0.5625,0
73,0.1875,0
76,0.1875,0
74,0.1875,0
73,0.1875,0
74,0.1875,0
76,0.1875,0
74,0.1875,0
73,0.1875,0
71,0.1875,0
69,0.1875,0
67,0.1875,0
66,0.1875,0
64,0.1875,0
67,0.1875,0
66,0.1875,0
64,0.1875,0
62,0.1875,0
69,0.1875,0
67,0.1875,0
66,0.1875,0
64,0.1875,0
66,0.1875,0
62,0.1875,0
69,0.375,0
71,0.375,0
73,0.1875,0
74,0.1875,0
73,0.375,0
69,0.375,0
74,0.375,0
74,0.375,0
62,0.375,0
