note,time,channel
0,0.1875,0
60,0.1875,0
62,0.1875,0
64,0.1875,0
65,0.1875,0
62,0.1875,0
64,0.1875,0
60,0.1875,0
67,0.375,0
72,0.375,0
71,0.375,0
72,0.375,0
74,0.1875,0
67,0.1875,0
69,0.1875,0
71,0.1875,0
72,0.1875,0
69,0.1875,0
71,0.1875,0
67,0.1875,0
74,0.375,0
79,0.375,0
77,0.375,0
79,0.375,0
76,0.1875,0
81,0.1875,0
79,0.1875,0
77,0.1875,0
76,0.1875,0
79,0.1875,0
77,0.1875,0
81,0.1875,0
79,0.1875,0
77,0.1875,0
76,0.1875,0
74,0.1875,0
72,0.1875,0
76,0.1875,0
74,0.1875,0
77,0.1875,0
76,0.1875,0
74,0.1875,0
72,0.1875,0
71,0.1875,0
69,0.1875,0
72,0.1875,0
71,0.1875,0
74,0.1875,0
72,0.1875,0
71,0.1875,0
69,0.1875,0
67,0.1875,0
66,0.1875,0
69,0.1875,0
67,0.1875,0
71,0.1875,0
69,0.375,0
62,0.375,0
72,0.5625,0
74,0.1875,0
71,0.1875,0
69,0.1875,0
67,0.1875,0
66,0.1875,0
64,0.1875,0
67,0.1875,0
66,0.1875,0
69,0.1875,0
67,0.1875,0
71,0.1875,0
69,0.1875,0
72,0.1875,0
71,0.1875,0
74,0.1875,0
72,0.1875,0
76,0.1875,0
74,0.1875,0
71,0.09375,0
72,0.09375,0
74,0.1875,0
79,0.1875,0
71,0.375,0
69,0.1875,0
67,0.1875,0
67,0.375,0
0,1.3125,0
67,0.1875,0
69,0.1875,0
71,0.1875,0
72,0.1875,0
69,0.1875,0
71,0.1875,0
67,0.1875,0
66,0.375,0
0,1.3125,0
69,0.1875,0
71,0.1875,0
72,0.1875,0
74,0.1875,0
71,0.1875,0
72,0.1875,0
69,0.1875,0
71,0.375,0
0,1.3125,0
74,0.1875,0
72,0.1875,0
71,0.1875,0
69,0.1875,0
72,0.1875,0
71,0.1875,0
74,0.1875,0
72,0.375,0
0,1.3125,0
76,0.1875,0
74,0.1875,0
72,0.1875,0
71,0.1875,0
74,0.1875,0
73,0.1875,0
76,0.1875,0
74,0.375,0
73,0.375,0
74,0.375,0
76,0.375,0
77,0.375,0
69,0.375,0
71,0.375,0
73,0.375,0
74,0.375,0
66,0.375,0
68,0.375,0
69,0.375,0
71,0.375,0
72,0.375,0
74,0.9375,0
64,0.1875,0
66,0.1875,0
68,0.1875,0
69,0.1875,0
66,0.1875,0
68,0.1875,0
64,0.1875,0
