note,time,channel
72,0.15957425,0
70,0.15957425,0
68,0.15957425,0
67,0.15957425,0
68,0.3191485,0
65,0.3191485,0
73,0.7978712499999999,0
72,0.15957425,0
70,0.15957425,0
69,0.15957425,0
70,0.3191485,0
67,0.3191485,0
76,0.7978712499999999,0
77,0.15957425,0
79,0.15957425,0
80,0.15957425,0
82,0.3191485,0
79,0.15957425,0
76,0.15957425,0
73,0.3191485,0
72,0.3191485,0
70,0.15957425,0
68,0.15957425,0
67,0.15957425,0
68,0.15957425,0
70,0.15957425,0
73,0.15957425,0
72,0.15957425,0
70,0.15957425,0
68,0.15957425,0
67,0.15957425,0
65,0.15957425,0
64,0.15957425,0
68,0.3191485,0
77,0.47872275,0
79,0.15957425,0
80,0.15957425,0
79,0.15957425,0
77,0.15957425,0
75,0.15957425,0
73,0.15957425,0
72,0.15957425,0
70,0.3191485,0
79,0.47872275,0
80,0.15957425,0
82,0.15957425,0
80,0.15957425,0
79,0.15957425,0
77,0.15957425,0
76,0.15957425,0
74,0.15957425,0
72,0.15957425,0
74,0.15957425,0
76,0.15957425,0
77,0.15957425,0
79,0.15957425,0
80,0.15957425,0
82,0.15957425,0
79,0.15957425,0
77,0.15957425,0
76,0.15957425,0
77,0.15957425,0
76,0.15957425,0
77,0.3191485,0
72,0.47872275,0
70,0.15957425,0
68,0.15957425,0
67,0.15957425,0
65,0.15957425,0
64,0.15957425,0
68,0.15957425,0
67,0.15957425,0
72,0.15957425,0
70,0.15957425,0
68,0.15957425,0
67,0.15957425,0
68,0.3191485,0
65,0.3191485,0
80,0.7978712499999999,0
79,0.15957425,0
77,0.15957425,0
76,0.15957425,0
77,0.3191485,0
74,0.3191485,0
71,0.7978712499999999,0
72,0.15957425,0
74,0.15957425,0
75,0.15957425,0
77,0.3191485,0
74,0.15957425,0
71,0.15957425,0
68,0.3191485,0
67,0.47872275,0
65,0.15957425,0
63,0.15957425,0
62,0.15957425,0
63,0.3191485,0
60,0.3191485,0
75,0.7978712499999999,0
74,0.15957425,0
72,0.15957425,0
71,0.15957425,0
72,0.3191485,0
69,0.3191485,0
78,0.7978712499999999,0
79,0.15957425,0
81,0.15957425,0
82,0.15957425,0
84,0.3191485,0
81,0.15957425,0
78,0.15957425,0
75,0.3191485,0
74,0.3191485,0
71,0.9574455,0
71,0.3191485,0
72,1.1170197499999999,0
74,0.15957425,0
74,0.9574455,0
72,0.3191485,0
72,0.7978712499999999,0
74,0.15957425,0
75,0.15957425,0
74,0.15957425,0
72,0.15957425,0
70,0.15957425,0
68,0.15957425,0
67,0.15957425,0
65,0.3191485,0
74,0.47872275,0
75,0.15957425,0
77,0.15957425,0
75,0.15957425,0
74,0.15957425,0
72,0.15957425,0
71,0.15957425,0
69,0.15957425,0
67,0.15957425,0
