note,time,channel
0,0.333333,0
65,0.333333,0
69,0.333333,0
65,0.333333,0
72,0.333333,0
65,0.333333,0
77,0.333333,0
76,0.1666665,0
74,0.1666665,0
72,0.1666665,0
74,0.1666665,0
72,0.1666665,0
70,0.1666665,0
69,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.333333,0
69,0.333333,0
72,0.333333,0
69,0.333333,0
77,0.333333,0
72,0.333333,0
81,0.1666665,0
84,0.1666665,0
82,0.1666665,0
84,0.1666665,0
81,0.1666665,0
84,0.1666665,0
82,0.1666665,0
84,0.1666665,0
81,0.1666665,0
84,0.1666665,0
82,0.1666665,0
84,0.1666665,0
77,0.1666665,0
81,0.1666665,0
79,0.1666665,0
81,0.1666665,0
77,0.1666665,0
81,0.1666665,0
79,0.1666665,0
81,0.1666665,0
77,0.1666665,0
81,0.1666665,0
79,0.1666665,0
81,0.1666665,0
74,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.1666665,0
74,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.1666665,0
74,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.1666665,0
71,0.333333,0
67,0.333333,0
74,0.333333,0
71,0.333333,0
77,0.333333,0
74,0.333333,0
79,0.1666665,0
81,0.1666665,0
79,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.1666665,0
76,0.1666665,0
74,0.1666665,0
72,0.1666665,0
74,0.1666665,0
72,0.1666665,0
70,0.1666665,0
69,0.333333,0
74,0.1666665,0
72,0.1666665,0
71,0.1666665,0
72,0.1666665,0
71,0.1666665,0
69,0.1666665,0
67,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.1666665,0
64,0.1666665,0
65,0.1666665,0
64,0.1666665,0
62,0.1666665,0
60,0.333333,0
72,0.1666665,0
71,0.1666665,0
72,0.333333,0
64,0.333333,0
65,0.333333,0
72,0.333333,0
64,0.333333,0
72,0.333333,0
62,0.333333,0
71,0.333333,0
72,0.666666,0
0,1.666665,0
72,0.333333,0
76,0.333333,0
72,0.333333,0
79,0.333333,0
72,0.333333,0
84,0.333333,0
83,0.1666665,0
81,0.1666665,0
79,0.1666665,0
81,0.1666665,0
79,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.1666665,0
76,0.1666665,0
74,0.1666665,0
72,0.1666665,0
70,0.1666665,0
72,0.1666665,0
81,0.1666665,0
72,0.1666665,0
81,0.1666665,0
70,0.1666665,0
81,0.1666665,0
72,0.1666665,0
81,0.1666665,0
69,0.1666665,0
81,0.1666665,0
70,0.333333,0
67,0.333333,0
70,0.333333,0
67,0.333333,0
74,0.333333,0
67,0.333333,0
79,0.333333,0
77,0.1666665,0
75,0.1666665,0
74,0.1666665,0
75,0.1666665,0
74,0.1666665,0
72,0.1666665,0
70,0.1666665,0
72,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.333333,0
70,0.333333,0
74,0.333333,0
70,0.333333,0
79,0.333333,0
74,0.333333,0
82,0.333333,0
73,0.333333,0
82,0.333333,0
73,0.333333,0
82,0.333333,0
73,0.333333,0
74,0.333333,0
69,0.333333,0
77,0.333333,0
74,0.333333,0
81,0.333333,0
77,0.333333,0
79,0.1666665,0
77,0.1666665,0
79,0.1666665,0
82,0.1666665,0
72,0.1666665,0
82,0.1666665,0
74,0.1666665,0
82,0.1666665,0
76,0.1666665,0
82,0.1666665,0
72,0.1666665,0
82,0.1666665,0
77,0.1666665,0
76,0.1666665,0
77,0.1666665,0
81,0.1666665,0
71,0.1666665,0
81,0.1666665,0
73,0.1666665,0
81,0.1666665,0
74,0.1666665,0
81,0.1666665,0
71,0.1666665,0
81,0.1666665,0
76,0.1666665,0
74,0.1666665,0
76,0.1666665,0
79,0.1666665,0
69,0.1666665,0
79,0.1666665,0
71,0.1666665,0
79,0.1666665,0
73,0.1666665,0
79,0.1666665,0
69,0.1666665,0
79,0.1666665,0
77,0.333333,0
74,0.333333,0
70,0.333333,0
74,0.333333,0
67,0.333333,0
77,0.333333,0
76,0.333333,0
72,0.333333,0
69,0.333333,0
72,0.333333,0
65,0.333333,0
75,0.333333,0
74,0.1666665,0
77,0.1666665,0
75,0.1666665,0
77,0.1666665,0
74,0.1666665,0
77,0.1666665,0
75,0.1666665,0
77,0.1666665,0
74,0.1666665,0
77,0.1666665,0
75,0.1666665,0
77,0.1666665,0
70,0.1666665,0
74,0.1666665,0
72,0.1666665,0
74,0.1666665,0
70,0.1666665,0
74,0.1666665,0
72,0.1666665,0
74,0.1666665,0
70,0.1666665,0
74,0.1666665,0
72,0.1666665,0
74,0.1666665,0
67,0.1666665,0
70,0.1666665,0
69,0.1666665,0
70,0.1666665,0
67,0.1666665,0
70,0.1666665,0
69,0.1666665,0
70,0.1666665,0
67,0.1666665,0
70,0.1666665,0
69,0.1666665,0
70,0.1666665,0
64,0.333333,0
60,0.333333,0
67,0.333333,0
64,0.333333,0
70,0.333333,0
67,0.333333,0
72,0.1666665,0
74,0.1666665,0
72,0.1666665,0
70,0.1666665,0
69,0.1666665,0
70,0.1666665,0
69,0.1666665,0
67,0.1666665,0
65,0.1666665,0
67,0.1666665,0
65,0.1666665,0
63,0.1666665,0
62,0.333333,0
67,0.1666665,0
65,0.1666665,0
64,0.1666665,0
65,0.1666665,0
64,0.1666665,0
62,0.1666665,0
60,0.1666665,0
62,0.1666665,0
60,0.1666665,0
58,0.1666665,0
57,0.1666665,0
58,0.1666665,0
57,0.1666665,0
55,0.1666665,0
53,0.333333,0
65,0.1666665,0
64,0.1666665,0
65,0.333333,0
57,0.333333,0
58,0.333333,0
65,0.333333,0
57,0.333333,0
65,0.333333,0
55,0.333333,0
64,0.333333,0
65,0.666666,0
0,2.333331,1
53,0.333333,1
57,0.333333,1
53,0.333333,1
60,0.333333,1
53,0.333333,1
65,0.333333,1
64,0.1666665,1
62,0.1666665,1
60,0.1666665,1
62,0.1666665,1
60,0.1666665,1
58,0.1666665,1
57,0.1666665,1
58,0.1666665,1
57,0.1666665,1
55,0.1666665,1
53,0.333333,1
57,0.333333,1
60,0.333333,1
57,0.333333,1
65,0.333333,1
60,0.333333,1
69,0.1666665,1
72,0.1666665,1
70,0.1666665,1
72,0.1666665,1
69,0.1666665,1
72,0.1666665,1
70,0.1666665,1
72,0.1666665,1
69,0.1666665,1
72,0.1666665,1
70,0.1666665,1
72,0.1666665,1
65,0.1666665,1
69,0.1666665,1
67,0.1666665,1
69,0.1666665,1
65,0.1666665,1
69,0.1666665,1
67,0.1666665,1
69,0.1666665,1
65,0.1666665,1
69,0.1666665,1
67,0.1666665,1
69,0.1666665,1
62,0.1666665,1
65,0.1666665,1
64,0.1666665,1
65,0.1666665,1
62,0.1666665,1
65,0.1666665,1
64,0.1666665,1
65,0.1666665,1
62,0.1666665,1
65,0.1666665,1
64,0.1666665,1
65,0.1666665,1
59,0.333333,1
55,0.333333,1
60,0.333333,1
55,0.333333,1
64,0.333333,1
60,0.333333,1
65,0.1666665,1
67,0.1666665,1
65,0.1666665,1
64,0.1666665,1
62,0.1666665,1
64,0.1666665,1
62,0.1666665,1
60,0.1666665,1
59,0.1666665,1
60,0.1666665,1
59,0.1666665,1
57,0.1666665,1
55,0.333333,1
60,0.1666665,1
59,0.1666665,1
57,0.1666665,1
59,0.1666665,1
57,0.1666665,1
55,0.1666665,1
53,0.1666665,1
55,0.1666665,1
53,0.1666665,1
52,0.1666665,1
50,0.1666665,1
52,0.1666665,1
50,0.1666665,1
48,0.1666665,1
55,0.1666665,1
53,0.1666665,1
52,0.1666665,1
53,0.1666665,1
55,0.333333,1
43,0.333333,1
0,0.333333,1
48,0.333333,1
52,0.333333,1
48,0.333333,1
55,0.333333,1
48,0.333333,1
60,0.333333,1
59,0.1666665,1
57,0.1666665,1
55,0.1666665,1
57,0.1666665,1
55,0.1666665,1
53,0.1666665,1
52,0.1666665,1
53,0.1666665,1
52,0.1666665,1
50,0.1666665,1
48,0.333333,1
52,0.333333,1
55,0.333333,1
52,0.333333,1
60,0.333333,1
55,0.333333,1
63,0.333333,1
54,0.333333,1
63,0.333333,1
54,0.333333,1
63,0.333333,1
54,0.333333,1
55,0.333333,1
53,0.1666665,1
51,0.1666665,1
50,0.1666665,1
51,0.1666665,1
50,0.1666665,1
48,0.1666665,1
46,0.1666665,1
48,0.1666665,1
46,0.1666665,1
45,0.1666665,1
43,0.333333,1
55,0.333333,1
58,0.333333,1
55,0.333333,1
62,0.333333,1
55,0.333333,1
67,0.333333,1
65,0.1666665,1
63,0.1666665,1
62,0.1666665,1
63,0.1666665,1
62,0.1666665,1
60,0.1666665,1
58,0.1666665,1
60,0.1666665,1
58,0.1666665,1
57,0.1666665,1
55,0.1666665,1
53,0.1666665,1
55,0.1666665,1
64,0.1666665,1
55,0.1666665,1
64,0.1666665,1
53,0.1666665,1
64,0.1666665,1
55,0.1666665,1
64,0.1666665,1
52,0.1666665,1
64,0.1666665,1
53,0.1666665,1
52,0.1666665,1
53,0.1666665,1
62,0.1666665,1
53,0.1666665,1
62,0.1666665,1
52,0.1666665,1
62,0.1666665,1
53,0.1666665,1
62,0.1666665,1
50,0.1666665,1
62,0.1666665,1
58,0.333333,1
55,0.333333,1
52,0.333333,1
55,0.333333,1
48,0.333333,1
52,0.333333,1
57,0.333333,1
53,0.333333,1
50,0.333333,1
53,0.333333,1
47,0.333333,1
50,0.333333,1
55,0.333333,1
52,0.333333,1
49,0.333333,1
52,0.333333,1
45,0.333333,1
49,0.333333,1
38,0.1666665,1
50,0.1666665,1
48,0.1666665,1
50,0.1666665,1
43,0.1666665,1
50,0.1666665,1
45,0.1666665,1
50,0.1666665,1
46,0.1666665,1
50,0.1666665,1
43,0.1666665,1
50,0.1666665,1
36,0.1666665,1
48,0.1666665,1
46,0.1666665,1
48,0.1666665,1
41,0.1666665,1
48,0.1666665,1
43,0.1666665,1
48,0.1666665,1
45,0.1666665,1
48,0.1666665,1
41,0.1666665,1
48,0.1666665,1
46,0.333333,1
50,0.333333,1
53,0.333333,1
50,0.333333,1
58,0.333333,1
53,0.333333,1
62,0.1666665,1
65,0.1666665,1
63,0.1666665,1
65,0.1666665,1
62,0.1666665,1
65,0.1666665,1
63,0.1666665,1
65,0.1666665,1
62,0.1666665,1
65,0.1666665,1
63,0.1666665,1
65,0.1666665,1
58,0.1666665,1
62,0.1666665,1
60,0.1666665,1
62,0.1666665,1
58,0.1666665,1
62,0.1666665,1
60,0.1666665,1
62,0.1666665,1
58,0.1666665,1
62,0.1666665,1
60,0.1666665,1
62,0.1666665,1
55,0.1666665,1
58,0.1666665,1
57,0.1666665,1
58,0.1666665,1
55,0.1666665,1
58,0.1666665,1
57,0.1666665,1
58,0.1666665,1
55,0.1666665,1
58,0.1666665,1
57,0.1666665,1
58,0.1666665,1
52,0.333333,1
48,0.333333,1
53,0.333333,1
48,0.333333,1
57,0.333333,1
53,0.333333,1
58,0.1666665,1
60,0.1666665,1
58,0.1666665,1
57,0.1666665,1
55,0.1666665,1
57,0.1666665,1
55,0.1666665,1
53,0.1666665,1
52,0.1666665,1
53,0.1666665,1
52,0.1666665,1
50,0.1666665,1
48,0.333333,1
53,0.1666665,1
52,0.1666665,1
50,0.1666665,1
52,0.1666665,1
50,0.1666665,1
48,0.1666665,1
46,0.1666665,1
48,0.1666665,1
46,0.1666665,1
45,0.1666665,1
43,0.1666665,1
45,0.1666665,1
43,0.1666665,1
41,0.1666665,1
48,0.1666665,1
46,0.1666665,1
45,0.1666665,1
46,0.1666665,1
48,0.333333,1
36,0.333333,1
41,0.666666,1
